ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored
1206,Courtney Marit,31,Female,CA,Panama,6,30,4,0.6875,1,1,16,12,0
1205,Shane Powers,34,Male,CA,Panama,5,33,9,0.75,1,1,16,12,0
1204,Cirie Fields,35,Female,SC,Panama,4,36,3,0.8125,1,4,16,12,0
1203,Terry Deitz,46,Male,CT,Panama,3,38,1,0.875,1,2,16,12,0
1202,Danielle DiLorenzo,24,Female,FL,Panama,2,39,4,0.9375,1,2,16,12,1
1201,Aras Baskauskas,24,Male,CA,Panama,1,39,9,1.0,1,2,16,12,1
1320,Sekou Bunch,45,Male,CA,Cook Islands,20,3,3,0.050000000000000044,1,1,20,13,0
1319,Billy Garcia,36,Male,NY,Cook Islands,19,6,4,0.09999999999999998,1,1,20,13,0
1318,Cecilia Mansilla,29,Female,CA,Cook Islands,18,8,5,0.15000000000000002,1,1,20,13,0
1317,J.P. Calderon,30,Male,CA,Cook Islands,17,11,7,0.19999999999999996,1,1,20,13,0
1316,Stephannie Favor,35,Female,SC,Cook Islands,16,14,9,0.25,1,1,20,13,0
1315,Cao Boi Bui,42,Male,VA,Cook Islands,15,15,6,0.30000000000000004,1,1,20,13,0
1314,Cristina Coria,35,Female,CA,Cook Islands,14,15,5,0.35,1,1,20,13,0
1313,Jessica Smith,27,Female,CA,Cook Islands,13,18,6,0.4,1,1,20,13,0
1312,Brad Virata,29,Male,CA,Cook Islands,12,21,7,0.44999999999999996,1,1,20,13,0
1311,Rebecca Borman,34,Female,NY,Cook Islands,11,24,6,0.5,1,1,20,13,0
1310,Jenny Guzon-Bae,36,Female,IL,Cook Islands,10,24,6,0.55,1,1,20,13,0
1309,Nate Gonzalez,26,Male,CA,Cook Islands,9,27,5,0.6,1,1,20,13,0
1308,Candice Woodcock,23,Female,DC,Cook Islands,8,30,6,0.65,1,2,20,13,0
1307,Jonathan Penner,44,Male,CA,Cook Islands,7,33,15,0.7,1,3,20,13,0
