ID,Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1303,Becky,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,,
1304,Sundra,1,0,-1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,,
1305,Adam,0,0,0,1,1,0,1,0,1,1,1,-1,-1,1,-1,-1,0,,
1306,Parvati,0,0,0,1,1,0,1,0,1,1,1,-1,-1,1,-1,0,0,,
1307,Jonathan,0,0,1,0,0,1,0,1,1,1,1,1,1,-1,0,0,0,,
1308,Candice,0,0,0,0,0,1,0,1,1,1,1,-1,-1,0,0,0,0,,
1309,Nate,-1,0,0,-1,1,0,0,0,1,1,-1,-1,0,0,0,0,0,,
1310,Jenny,0,0,0,1,1,0,1,0,1,1,-1,0,0,0,0,0,0,,
1311,Rebecca,1,0,0,1,1,0,1,0,1,-1,0,0,0,0,0,0,0,,
1312,Brad,0,0,0,1,1,0,-1,0,-1,0,0,0,0,0,0,0,0,,
1313,Jessica,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,,
1314,Cristina,0,1,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,,
1315,Cao Boi,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,
1316,Stephannie,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,
1317,J.P.,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1318,Cecilia,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1319,Billy,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1320,Sekou,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1400,Boot,Jessica,Erica,Sylvia,Liliana,Rita,Anthony,Rocky,Lisi,Michelle,Edgardo,Mookie,Alex,Stacy,Boo,Yau-Man,,,,
1401,Earl,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,,,,
1403,Cassandra,0,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,,,,
1402,Dreamz,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1404,Yau-Man,1,1,1,0,1,0,0,0,1,1,1,1,1,1,-1,,,,
1405,Boo,0,0,0,1,0,0,0,0,1,1,1,1,-1,-1,0,,,,
1406,Stacy,0,0,0,1,0,0,0,1,1,1,1,1,-1,0,0,,,,
1407,Alex,0,0,0,1,1,1,1,1,1,1,1,-1,0,0,0,,,,
1408,Mookie,1,1,-1,0,1,1,1,1,1,-1,-1,0,0,0,0,,,,
1409,Edgardo,0,0,0,1,1,1,1,1,1,-1,0,0,0,0,0,,,,
1410,Michelle,1,1,1,0,-1,0,0,1,-1,0,0,0,0,0,0,,,,
1411,Lisi,0,0,0,1,0,1,1,-1,0,0,0,0,0,0,0,,,,
1412,Rocky,-1,1,-1,0,1,1,-1,0,0,0,0,0,0,0,0,,,,
1413,Anthony,1,-1,1,0,1,-1,0,0,0,0,0,0,0,0,0,,,,
1414,Rita,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,,,,
1415,Liliana,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,,
1416,Gary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1417,Sylvia,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1418,Erica,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1419,Jessica,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1500,Boot,Chicken,Ashley,Leslie,Dave,Aaron,Sherea,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,,,,,,
1501,Todd,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,
1502,Courtney,0,0,-1,0,0,-1,1,1,1,1,1,1,1,,,,,,
1503,Amanda,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,
1504,Denise,0,0,1,0,0,1,1,-1,1,1,1,1,-1,,,,,,
1505,Peih-Gee,1,1,0,1,1,0,-1,-1,1,-1,-1,-1,0,,,,,,
1506,Erik,1,1,0,1,1,0,-1,-1,1,1,-1,0,0,,,,,,
1507,James,0,0,1,0,-1,0,1,1,1,-1,0,0,0,,,,,,
1508,Frosti,1,1,0,1,0,1,1,1,-1,0,0,0,0,,,,,,
1510,Jaime,1,1,0,1,1,0,-1,0,0,0,0,0,0,,,,,,
1511,Sherea,1,1,0,1,0,-1,0,0,0,0,0,0,0,,,,,,
1512,Aaron,0,0,1,0,-1,0,0,0,0,0,0,0,0,,,,,,
1513,Dave,-1,1,0,-1,0,0,0,0,0,0,0,0,0,,,,,,
1514,Leslie,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,,
1515,Ashley,-1,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1516,Chicken,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1509,Jean-Robert,0,0,1,0,0,1,1,-1,0,0,0,0,0,,,,,,
1600,Boot,Jon,Mary,Yau-Man,Mikey B.,Joel,Chet,Tracy,Ami,Eliza,Ozzy,Jason,Alexis,Erik,Natalie,Cirie,,,,
1601,Parvati,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,,,,
1602,Amanda,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,
1603,Cirie,1,0,1,0,1,1,1,1,1,1,1,-1,1,1,0,,,,
1604,Natalie,0,1,0,1,0,0,1,1,1,1,1,-1,1,-1,0,,,,
1605,Erik,0,1,0,1,-1,1,1,1,1,1,1,-1,-1,0,0,,,,
1606,Alexis,0,1,0,-1,0,0,1,1,1,1,-1,-1,0,0,0,,,,
1607,James,1,0,1,0,0,0,1,1,1,-1,-1,0,0,0,0,,,,
1608,Jason,0,-1,0,-1,0,0,0,1,1,1,-1,0,0,0,0,,,,
1609,Ozzy,1,0,1,0,1,1,1,1,1,-1,0,0,0,0,0,,,,
1610,Eliza,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,,,,
1611,Ami,1,0,-1,0,1,1,1,-1,0,0,0,0,0,0,0,,,,
1612,Tracy,0,1,0,1,1,-1,-1,0,0,0,0,0,0,0,0,,,,
1613,Kathy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
1614,Chet,0,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,,,,
1615,Jonathan,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1616,Joel,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,,,,
1617,Mikey B.,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,,
1618,Yau-Man,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1619,Mary,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1620,Jon,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1700,Boot,Michelle,Gillian,Paloma,Jacquie,G.C.,Kelly,Ace,Dan,Marcus,Charlie,Randy,Corinne,Crystal,Ken,Matty,,,,
1701,Bob,0,0,1,0,0,0,0,1,-1,-1,-1,-1,1,1,0,,,,
1702,Susie,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,,,,
1703,Sugar,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,,,,
1704,Matty,1,1,0,1,1,1,-1,0,0,1,1,1,1,1,0,,,,
1705,Ken,1,1,0,1,1,1,1,0,1,1,1,-1,-1,-1,0,,,,
1706,Crystal,1,1,0,1,1,1,1,0,1,1,1,1,-1,0,0,,,,
1707,Corinne,0,0,1,0,0,0,0,1,0,-1,-1,-1,0,0,0,,,,
1708,Randy,1,1,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,,,,
1709,Charlie,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,0,,,,
1710,Marcus,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,,,,
1711,Dan,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,,,,
1712,Ace,0,0,1,-1,1,1,-1,0,0,0,0,0,0,0,0,,,,
1713,Kelly,0,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,,,,
1714,G.C.,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,,,,
1715,Jacquie,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,,,,
