ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored,ChW,ChA,ChW%,VFB,VAP,TotV,TCA,TC%,wTCR,JVF,TotJ,JV%,SurvSc,SurvAv,Alliance_Score,prev_ids,new_id,seasons_played,FTC
0404,Paschal English,56.0,Female,GA,Marquesas,4.0,37.0,0.0,0.8125,1.0,1,16.0,4.0,1,2.84,14.33,0.2,8.0,0.0,58.0,9.0,0.89,6.22,,,,1.09,9.07,0.5644179894179894,,,,0
0404,Kathy Vavrick-O'Brien,47.0,Male,VT,Marquesas,4.0,38.0,5.0,0.8125,1.0,2,16.0,4.0,0,5.51,15.33,0.36,7.0,5.0,61.0,10.0,0.69,2.18,,,,1.05,7.69,0.6764550264550264,,,,0
0404,Kathy Vavrick-O'Brien,47.0,Male,VT,Marquesas,4.0,38.0,5.0,0.8125,1.0,2,16.0,4.0,0,5.51,15.33,0.36,7.0,5.0,61.0,10.0,0.69,2.18,,,,1.05,7.69,0.5644179894179894,,,,0
0404,Kathy Vavrick-O'Brien,47.0,Male,VT,Marquesas,4.0,38.0,5.0,0.8125,1.0,2,16.0,4.0,0,2.84,14.33,0.2,8.0,0.0,58.0,9.0,0.89,6.22,,,,1.09,9.07,0.6764550264550264,,,,0
0404,Kathy Vavrick-O'Brien,47.0,Male,VT,Marquesas,4.0,38.0,5.0,0.8125,1.0,2,16.0,4.0,0,2.84,14.33,0.2,8.0,0.0,58.0,9.0,0.89,6.22,,,,1.09,9.07,0.5644179894179894,,,,0
0405,Sean Rector,30.0,Male,CA,Marquesas,5.0,36.0,7.0,0.75,1.0,1,16.0,4.0,0,1.75,13.35,0.13,7.0,7.0,74.0,10.0,0.69,1.78,,,,0.82,3.53,0.6166666666666667,,,,0
0406,Robert DeCanio,38.0,Male,NY,Marquesas,6.0,33.0,6.0,0.6875,1.0,1,16.0,4.0,0,1.62,11.33,0.14,3.0,6.0,48.0,6.0,0.48,1.4,,,,0.62,3.02,0.4761904761904762,,,,0
0407,Tammy Leitner,29.0,Female,AZ,Marquesas,7.0,30.0,5.0,0.625,1.0,1,16.0,4.0,0,3.01,9.33,0.32,3.0,5.0,42.0,5.0,0.58,1.87,,,,0.9,4.88,0.5357142857142857,,,,0
0408,Zoe Zanidakis,35.0,Female,ME,Marquesas,8.0,27.0,8.0,0.5625,1.0,1,16.0,4.0,0,0.96,7.33,0.13,3.0,8.0,35.0,4.0,0.69,1.75,,,,0.82,2.71,0.5625,,,,0
0409,John Carroll,36.0,Male,NE,Marquesas,9.0,24.0,8.0,0.5,1.0,1,16.0,4.0,0,0.56,5.83,0.1,2.0,8.0,27.0,3.0,0.57,1.56,,,,0.66,2.12,-1.0,,,,0
0410,Rob Mariano,25.0,Male,MA,Marquesas,10.0,21.0,8.0,0.4375,1.0,4,16.0,4.0,0,0.25,3.85,0.06,4.0,8.0,39.0,5.0,0.76,1.87,,,,0.82,2.12,0.7,,,,0
0411,Gina Crews,28.0,Female,FL,Marquesas,11.0,18.0,3.0,0.375,1.0,1,16.0,4.0,0,0.75,2.85,0.26,2.0,3.0,30.0,5.0,0.38,1.6,,,,0.64,2.35,0.25,,,,0
0412,Gabriel Cade,23.0,Male,CA,Marquesas,12.0,15.0,7.0,0.3125,1.0,1,16.0,4.0,0,0.96,2.33,0.41,0.0,7.0,8.0,1.0,-0.88,0.0,,,,-0.46,0.96,-1.0,,,,0
0413,Sarah Jones,24.0,Female,CA,Marquesas,13.0,12.0,11.0,0.25,1.0,1,16.0,4.0,0,0.0,1.85,0.0,3.0,11.0,26.0,4.0,0.64,1.4,,,,0.64,1.4,0.25,,,,0
0414,Hunter Ellis,33.0,Male,CA,Marquesas,14.0,9.0,4.0,0.1875,1.0,1,16.0,4.0,0,0.0,1.65,0.0,1.0,4.0,21.0,3.0,0.27,1.17,,,,0.27,1.17,-1.0,,,,0
0415,Patricia Jackson,49.0,Female,SC,Marquesas,15.0,6.0,5.0,0.125,1.0,1,16.0,4.0,0,0.0,1.29,0.0,1.0,5.0,15.0,2.0,0.33,1.56,,,,0.33,1.56,-1.0,,,,0
0416,Peter Harkey,44.0,Male,MA,Marquesas,16.0,3.0,5.0,0.0625,1.0,1,16.0,4.0,0,0.0,1.0,0.0,0.0,5.0,8.0,1.0,-0.63,0.0,,,,-0.63,0.0,-1.0,,,,0
0501,Brian Heidik,34.0,Male,CA,Thailand,1.0,39.0,0.0,1.0,1.0,1,16.0,5.0,1,6.18,12.13,0.51,9.0,0.0,54.0,9.0,1.0,7.0,4.0,7.0,0.57,2.08,16.61,0.8392857142857143,,,,1
